category,clue,indicator,fodder,definition,length
Anagrams,Deliver extremely popular puzzling video,puzzling,video,Deliver,7
Selectors,Even nerdy guys can be badass,even,nerdy guys,can be badass,4
Anagrams,Changes actress!?,changes,actress,changes actress,7
Hiddens,Provide a lipstick sample for model,sample,Provide a lipstick,model,5
Selectors,Sister's half brothers,half,brothers,sister's,4
Selectors,Intermittent pain in body to irritate,intermittent,pain in body,to irritate,5
Hiddens,Temporary contract in government sector,sector,contract in government,temporary,6
Selectors,Dank memes on Instagram sent to principals,Principals,memes on Instagram sent to,Dank,5
Hiddens,Cinema illegally hides message on a screen,hides,Cinema illegally,message on a screen,5
Selectors,Go thirds in pet turkey,thirds,pet turkey,go,3
Anagrams,De Niro's acting decreased with Heat,acting,De Niro,decreased with Heat,6
Anagrams,Minute Cryptic finally solved (not against the clock),cryptic,minute,not against the clock,7
Selectors,Original amigos each only halfway through paperwork,halfway,original amigos,paperwork,7
Hiddens,Inside Stephanie's revealing skirt,revealing,inside stephanie's,skirt,8
Selectors,Eye doctor orders bifocals and heads back home,heads,Eye doctor orders bifocals and,back home,5
Hiddens,Stab piercing rogue's shield,piercing,rogue's shield,stab,5
Anagrams,Puzzle book's debut released by beaming eccentric,puzzle,beaming,puzzle,6
Hiddens,Last five cappuccinos sent back in waves?,last five,cappuccinos,waves,5
Anagrams,Love us madly? Grab 1000 books!,madly,love us,books,7
Selectors,Feel mature after clearing elm property,after,feel mature,property,7
Hiddens,Perhaps backpacking close by Amsterdam?,backpacking,close by Amsterdam,perhaps,5
Selectors,Play leapfrog across street drains - a fitting game?,across,street drains,a fitting game,6
Anagrams,Engineer rang unknown number when blowing a fuse,engineer,rang,when blowing a fuse,5
Selectors,Fishnets that could assist fishing vessel's process by seconds,seconds,that could assist fishing vessel's process by,fishnets,7
Hiddens,Murder ingredient found in microwave?,in,microwave,murder ingredient,4
Anagrams,No coming back after shipwreck? That sucks,wreck,no ship,that sucks,6
Anagrams,Solitary Dancing Queen fan,dancing,solitary,queen fan,8
Selectors,Admit spending time with really odd seaman,odd,admit time really,seaman,7
Hiddens,Secretly ditch essay for game with mates?,secretly,ditch essay,game with mates,5
Selectors,Giant tortoise is tracked around narrow openings,openings,tortoise is tracked around narrow,giant,5
Selectors,Eye rolling feels good occasionally,occasionally,feels good,ogle,4
Anagrams,I love doing gymnastics with this extremely springy bunch?,doing gymnastics,i love,springy bunch,7
Anagrams,Cold guys heartlessly shun quirky women,quirky,women,cold guys,7
Anagrams,Edison half screwed a lightbulb?,screwed,edi,lightbulb,4
Anagrams,Nineties freestyle icon known for his energetic MC work?,freestyle,nineties,icon known for his energetic MC work,8
Selectors,Flat crustless half-size loaf,half,flat size,loaf,4
Hiddens,Business disinfected casino to conceal triple murder perhaps?,conceal,Business disinfected casino,murder perhaps,3
Anagrams,Please... shaken not stirred,shaken,please,not stirred,6
Anagrams,Humans maybe evolved armpits to conserve energy,evolved,armpits,humans maybe,8
