clue,true_category,predicted_category,prob_Anagrams,prob_Hiddens,prob_Selectors
Deliver extremely popular puzzling video,Anagrams,Anagrams,0.9232808878715778,0.06259688458784014,0.014122227540582049
Even nerdy guys can be badass,Selectors,Selectors,0.016421347636920127,0.08100969176762449,0.9025689605954553
Changes actress!?,Anagrams,Anagrams,0.720446065356887,0.13908375963676245,0.14047017500635056
Provide a lipstick sample for model,Hiddens,Selectors,0.00722470418965602,0.28416337292033333,0.7086119228900105
Sister's half brothers,Selectors,Selectors,0.11180989947191011,0.41775496444683347,0.4704351360812564
Intermittent pain in body to irritate,Selectors,Selectors,0.14636172132114092,0.3373029689471382,0.5163353097317209
Temporary contract in government sector,Hiddens,Hiddens,0.012909944928859845,0.6203251972982416,0.3667648577728985
Dank memes on Instagram sent to principals,Selectors,Selectors,0.0017038481230533522,0.26068945871480037,0.7376066931621463
Cinema illegally hides message on a screen,Hiddens,Hiddens,0.042324855798233266,0.6043621759968997,0.3533129682048671
Go thirds in pet turkey,Selectors,Hiddens,0.0420060086944166,0.48065090744518923,0.4773430838603942
De Niro's acting decreased with Heat,Anagrams,Anagrams,0.5228964464174674,0.16345533125240444,0.3136482223301283
Minute Cryptic finally solved (not against the clock),Anagrams,Anagrams,0.8946591014834252,0.0908492094714553,0.014491689045119658
Original amigos each only halfway through paperwork,Selectors,Hiddens,0.21563163765688156,0.4549883638509252,0.32937999849219324
Inside Stephanie's revealing skirt,Hiddens,Hiddens,0.17291398412794234,0.43293292671844513,0.3941530891536125
Eye doctor orders bifocals and heads back home,Selectors,Selectors,6.0299926461131065e-05,0.03726385179553552,0.9626758482780033
Stab piercing rogue's shield,Hiddens,Hiddens,0.13464116574674287,0.4617809976195744,0.4035778366336827
Puzzle book's debut released by beaming eccentric,Anagrams,Anagrams,0.7040520989975987,0.19821877454368828,0.09772912645871298
Last five cappuccinos sent back in waves?,Hiddens,Hiddens,0.2916380956735134,0.690818784879295,0.017543119447191665
Love us madly? Grab 1000 books!,Anagrams,Anagrams,0.911470191832325,0.06943576912676552,0.019094039040909467
Feel mature after clearing elm property,Selectors,Selectors,0.34713039925927197,0.22762825687462698,0.425241343866101
Perhaps backpacking close by Amsterdam?,Hiddens,Hiddens,0.056259946652701585,0.7353640722093542,0.20837598113794417
Play leapfrog across street drains - a fitting game?,Selectors,Selectors,0.09990647647562423,0.2488388864732735,0.6512546370511023
Engineer rang unknown number when blowing a fuse,Anagrams,Anagrams,0.7217566566972531,0.23816350360898542,0.040079839693761464
Fishnets that could assist fishing vessel's process by seconds,Selectors,Selectors,6.737688608914549e-06,0.09034096365717405,0.909652298654217
Murder ingredient found in microwave?,Hiddens,Selectors,0.06675229653341593,0.4212156351407399,0.5120320683258442
No coming back after shipwreck? That sucks,Anagrams,Anagrams,0.6964422958562538,0.12474449577257223,0.17881320837117387
Solitary Dancing Queen fan,Anagrams,Anagrams,0.9030234248868086,0.06040592506876502,0.03657065004442637
Admit spending time with really odd seaman,Selectors,Selectors,0.04766212184646012,0.1166341614343576,0.8357037167191822
Secretly ditch essay for game with mates?,Hiddens,Hiddens,0.161242816502064,0.5250495087666238,0.31370767473131206
Giant tortoise is tracked around narrow openings,Selectors,Selectors,9.228056177059797e-05,0.21926167766619858,0.7806460417720308
Eye rolling feels good occasionally,Selectors,Selectors,0.026282516163570666,0.10378957405693033,0.869927909779499
